LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	
0.000500	0.625447	0.685505	57.894737	67.346936	
0.000500	0.587693	0.667963	57.894737	69.387758	
0.000500	0.572093	0.619676	57.894737	71.428573	
0.000500	0.552707	0.576428	63.157892	75.510204	
0.000500	0.529731	0.544573	63.157892	83.673471	
0.000500	0.504893	0.504183	73.684210	83.673471	
0.000500	0.478286	0.457619	78.947371	85.714287	
0.000500	0.447739	0.408854	73.684210	85.714287	
0.000500	0.415843	0.371500	73.684210	85.714287	
0.000500	0.394681	0.348074	78.947371	89.795917	
0.000500	0.377675	0.339167	78.947371	87.755102	
0.000500	0.367303	0.329459	78.947371	87.755102	
0.000500	0.358038	0.325675	78.947371	87.755102	
0.000500	0.348283	0.324606	78.947371	87.755102	
0.000500	0.339548	0.323724	78.947371	87.755102	
0.000500	0.331576	0.322772	84.210527	87.755102	
0.000500	0.324471	0.322062	84.210527	87.755102	
0.000500	0.317931	0.319566	84.210527	87.755102	
0.000500	0.311640	0.318438	84.210527	87.755102	
0.000500	0.305942	0.315669	84.210527	87.755102	
0.000500	0.300608	0.314866	89.473683	87.755102	
0.000500	0.295523	0.309319	89.473683	87.755102	
0.000500	0.290645	0.306522	84.210527	87.755102	
0.000500	0.286418	0.300912	89.473683	87.755102	
0.000500	0.281103	0.294435	89.473683	87.755102	
0.000500	0.275344	0.286192	89.473683	87.755102	
0.000500	0.269582	0.281729	89.473683	91.836733	
0.000500	0.263762	0.275714	89.473683	91.836733	
0.000500	0.258029	0.272006	89.473683	91.836733	
0.000500	0.252760	0.267130	89.473683	91.836733	
